2.1000000000000001e+00,-1.6610102263580295e+00,8.6730177574073897e-01,7.9553798016858334e+06,0.0000000000000000e+00
2.1272727272727274e+00,-1.6340878897839481e+00,8.5129208658951028e-01,6.9798942047380516e+06,1.2161144730259096e-13
2.1545454545454548e+00,-1.6083851333024615e+00,8.3796100935185402e-01,6.9779330805419711e+06,0.0000000000000000e+00
2.1818181818181817e+00,-1.5729460457716038e+00,8.0898670492283686e-01,6.4952818808507966e+06,0.0000000000000000e+00
2.2090909090909090e+00,-1.5318002260802477e+00,7.6975381799382558e-01,5.9640088479524683e+06,-1.1710731962471723e-13
2.2363636363636363e+00,-1.4966800609259245e+00,7.4283737695988039e-01,4.9426935887552463e+06,0.0000000000000000e+00
2.2636363636363637e+00,-1.4437280283641931e+00,6.7032330143518570e-01,5.8351028563025882e+06,-1.1428545650123007e-13
2.2909090909090910e+00,-1.3889765334567952e+00,5.4878167458333160e-01,4.8481818092749864e+06,0.0000000000000000e+00
2.3181818181818183e+00,-1.3179709661419692e+00,3.3648382850308711e-01,3.9742320026987405e+06,0.0000000000000000e+00
2.3454545454545452e+00,-1.2822217589197578e+00,3.0456771694444490e-01,3.4603853088615756e+06,0.0000000000000000e+00
2.3727272727272726e+00,-1.2385324679012386e+00,1.9854319197530923e-01,3.5084955952758361e+06,3.4072172735639713e-15
2.3999999999999999e+00,-1.2100204225617321e+00,1.7371976157407393e-01,3.7325153931525587e+06,5.3895982327284638e-14
